i,t
7596,2
7637,1
7638,1
7640,1
7641,1
7644,8
7681,1
7682,1
7691,1
7707,1
7708,1
7711,1
7713,6
7721,1
7725,1
7728,1
7729,1
7735,1
7736,1
7744,1
7745,1
7747,12
7752,1
7755,1
7770,1
7772,1
7780,1
7788,1
7790,1
7800,1
7802,1
7805,1
7807,12
7816,1
7831,1
7835,1
7836,1
7837,5
7840,1
7842,1
7862,1
7868,1
7869,1
7870,1
7874,1
7876,1
7877,6
7878,1
7879,5
7880,1
7882,1
7883,1
7884,1
7886,1
7887,1
7888,12
7890,1
7893,1
7894,1
7896,1
7898,1
7899,1
7900,5
7901,1
7903,1
7918,1
7920,1
7921,5
7922,1
7923,12
7924,9
7930,7
7944,1
7946,1
7947,1
7954,1
7963,1
7968,1
7973,1
7974,1
7977,1
7978,1
7983,1
7988,1
7992,1
8000,1
8005,1
8012,1
8015,1
8016,1
8017,1
8020,1
8024,1
8028,1
8029,1
8032,11
8033,1
8034,1
8035,1
8036,1
8043,12
8046,1
8048,0
8060,1
8070,1
8072,1
8077,1
8079,1
8086,1
8097,1
8099,1
8103,1
8106,1
8110,1
8115,1
8120,1
8132,1
8135,1
8149,1
8150,1
8152,1
8153,8
8156,1
8157,1
8159,1
8161,1
8164,12
8165,1
8166,1
8171,1
8172,1
8176,1
8179,1
8180,1
8182,1
8184,1
8185,1
8187,1
8189,1
8191,1
8192,1
8196,1
8197,1
8198,1
8202,4
8205,1
8210,1
8225,1
8235,1
8236,1
8241,1
8242,1
8243,1
8244,1
8248,1
8263,1
8266,1
8291,1
8295,1
8296,1
8297,1
8298,1
8299,1
8300,1
8304,13
8309,13
8314,5
8317,1
8319,15
8322,1
8323,1
8324,6
8325,5
8326,14
8332,1
8335,1
8338,1
8339,1
8340,1
8347,1
8358,1
8359,3
8363,1
8365,1
8376,4
8377,1
8385,1
8397,1
8398,1
8401,10
8403,1
8409,1
8414,1
8415,1
8444,1
8446,1
8455,1
8456,1
8458,1
8461,1
8465,1
8466,1
8471,1
8473,1
8481,1
8486,1
8489,1
8493,1
8494,1
8498,1
8499,1
8504,1
8506,1
8508,1
8515,1
8517,1
8525,1
8529,1
8532,1
